"species","size","motility","feeding","tiering","time_pre_during_post","respiratory_protein","physiological_buffering"
"Microcheilinella_lata","tiny","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Microcheilinella_peraxilis","tiny","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Neoulrichia_pulchra","tiny","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Parabythocythere_sp_1","tiny","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Parabythocythere_chongpani","tiny","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Paracypris_gaetanii","tiny","slow_moving","herbivore","epifaunal","3","hemocyanin","buffered"
"Paracypris_sp_1","tiny","slow_moving","herbivore","epifaunal","3","hemocyanin","buffered"
"Parahollinella_visnyoensis","tiny","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Paramacrocypris_schallreuteri","tiny","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Paraparchites_sp_1","tiny","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Petasobairdia_nantongensis","tiny","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Pseudacanthoscapha_striatula","tiny","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Sargentina_n_sp_A","tiny","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Sargentina_postacuta","tiny","slow_moving","herbivore","epifaunal","1,2","hemocyanin","buffered"
"Sulcella_suprapermiana","tiny","slow_moving","herbivore","epifaunal","1","hemocyanin","buffered"
"Araxathyris_sp","small","nonmotile_attached","herbivore","epifaunal","2","hemerythrin","unbuffered"
"Atyhris_royssii","medium","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Atyhris_planosulcata","medium","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Comelicania_haueri","medium","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Comelicania_megalotis","medium","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Comelicania_merlai","medium","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Comelicothyris_laterosulcata","medium","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Comelicothyris_recticardinis","medium","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Dielasma_cf_plica","medium","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Dielasma_pentagonum","medium","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Dielasma_cf_truncatum","small","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Hemiptychina_sublaevis","medium","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Hemiptychina_orientalis","medium","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Janiceps_bipartita","medium","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Janiceps_cadorica","medium","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Janiceps_papilio","medium","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Janiceps_peracuta","medium","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Janiceps_impar","medium","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Martinia_gibbosa","medium","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Martinia_gigantea","medium","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Martinia_glabra","medium","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Martinia_trigona","medium","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Notothyris_nucleola_baroghilensis","medium","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Ombonia_tirolensis","medium","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Orbicoelia_dolomitensis","small","nonmotile_attached","herbivore","epifaunal","2","hemerythrin","unbuffered"
"Orthothetina_ladina","medium","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Productus_abichi","medium","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Productus_sp","small","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Reticularia_cf_lineata","medium","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Septospirigerella","medium","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Spinomarginifera_sp","medium","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Spirifer_cf_duplicosta","medium","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Spirifer_cf_supracarbonicus","medium","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Spiriferellina_cristata","medium","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Spiriferellina_taramellii","medium","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Spirigera_faba","small","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Spirigerella_teseroi","small","nonmotile_attached","herbivore","epifaunal","2","hemerythrin","unbuffered"
"Spirigerellinae_gen_et_sp_indet","medium","nonmotile_attached","herbivore","epifaunal","1","hemerythrin","unbuffered"
"Teserina_nerii","medium","nonmotile_attached","herbivore","epifaunal","2","hemerythrin","unbuffered"
"Trentingula_lorigae","small","nonmotile_attached","herbivore","shallow_infaunal","3","hemerythrin","buffered"
"Trentingula_mazzinensis","small","nonmotile_attached","herbivore","shallow_infaunal","3","hemerythrin","buffered"
"Trentingula_prinothi","small","nonmotile_attached","herbivore","shallow_infaunal","1","hemerythrin","buffered"
"Bryozoa_indet","tiny","nonmotile_attached","herbivore","epifaunal","1","diffusion","unbuffered"
"Microconchida_sp_indet","tiny","nonmotile_attached","herbivore","epifaunal","1","diffusion","unbuffered"
"Microconchida_sp","small","nonmotile_attached","herbivore","epifaunal","2","diffusion","unbuffered"
"Nodosaria_elabugae","tiny","nonmotile_unattached","herbivore","epifaunal","1,2","diffusion","unbuffered"
"Nodosaria_expolita","tiny","nonmotile_unattached","herbivore","epifaunal","3","diffusion","unbuffered"
"Nodosaria_skyphica","tiny","nonmotile_unattached","herbivore","epifaunal","3","diffusion","unbuffered"
"Agathammina_elongata","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Agathammina_pusilla","small","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Agathammina_sp","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Aulacophloia_cf_martiniae","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Baisalina_pulchra","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Calcitornella_sp","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Calvezina_ottomana","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Charliella_cf_altineri","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Charliella_dolomitica","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Charliella_sp","tiny","nonmotile_unattached","herbivore","epifaunal","3","diffusion","unbuffered"
"Colaniella_sp","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Cornuspira_mahajeri","tiny","nonmotile_unattached","herbivore","epifaunal","1,3","diffusion","unbuffered"
"Cryptomorphina_limonitica","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Cryptoseptida_anatoliensis","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Dagmarita_chanakchiensis","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Diplosphaerina_inaequalis","tiny","nonmotile_unattached","herbivore","epifaunal","3","diffusion","unbuffered"
"Earlandia_tintinniformis","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Earlandia_sp","tiny","nonmotile_unattached","herbivore","epifaunal","1,3","diffusion","unbuffered"
"Frondina_cf_permica","tiny","nonmotile_unattached","herbivore","epifaunal","1,2","diffusion","unbuffered"
"Frondina_permica","tiny","nonmotile_unattached","herbivore","epifaunal","1,2","diffusion","unbuffered"
"Frondinodosaria_cf_semivelata","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Frondinodosaria_sp_2","tiny","nonmotile_unattached","herbivore","epifaunal","2","diffusion","unbuffered"
"Geinitzina_cf_spandeli","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Geinitzina_postcarbonica","small","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Geinitzina_sp_1","tiny","nonmotile_unattached","herbivore","epifaunal","1,2","diffusion","unbuffered"
"Geinitzina_sp_2","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Geinitzina_sp_indet","tiny","nonmotile_unattached","herbivore","epifaunal","1,2,3","diffusion","unbuffered"
"Geinitzina_spandeli_dolomitica","tiny","nonmotile_unattached","herbivore","epifaunal","1,2","diffusion","unbuffered"
"Geinitzina_spandeli_plana","tiny","nonmotile_unattached","herbivore","epifaunal","2","diffusion","unbuffered"
"Geinitzina_taurica","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Geinitzina_uralica_simplex","tiny","nonmotile_unattached","herbivore","epifaunal","1,2","diffusion","unbuffered"
"Globivalvulina_bulloides","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Globivalvulina_cyprica","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Globivalvulina_graeca","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Globivalvulina_lukachiensis","tiny","nonmotile_unattached","herbivore","epifaunal","3","diffusion","unbuffered"
"Globivalvulina_vonderschmitti","small","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Globogaetania_sp","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Glomomidiella_cf_infrapermica","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Hayasakaina_cf_paraminor","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Hemigordiella_elegans","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Hemigordius_baoqingensis","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Hemigordius_minima","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Hemigordius_sp_2","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Hoyenella_annulata","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Hoyenella_farsani","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Hoyenella_paucispira","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Hoyenella_sp","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Ichthyofrondina_latilimbata","tiny","nonmotile_unattached","herbivore","epifaunal","1,2","diffusion","unbuffered"
"Labioglobivalvulina_baudi","tiny","nonmotile_unattached","herbivore","epifaunal","1,2","diffusion","unbuffered"
"Labioglobivalvulina_fortis","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Langella_cukurkoyi","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Langella_ocarina","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Langella_perforata","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Midiella_arpaensis","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Multidiscella_langei","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Multidiscella_transitional_to_Multidiscus_sp","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Multidiscella_zaninettiae","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Multidiscella_sp","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Nankinella_cf_discoides","small","nonmotile_unattached","herbivore","epifaunal","1,2","diffusion","unbuffered"
"Nankinella_cf_quasihunanensis","small","nonmotile_unattached","herbivore","epifaunal","1,2","diffusion","unbuffered"
"Neodiscopsis_cf_rotundus","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Neodiscopsis_giganteus","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Neoendothyra_bronnimanni","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Neogeinitzina_sp","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Nestellorella_sp","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Nodosaria_camerata","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Nodosinella_sp","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","buffered"
"Nodosinelloides_cf_aequiampla","tiny","nonmotile_unattached","herbivore","epifaunal","1,2","diffusion","unbuffered"
"Nodosinelloides_cf_camerata","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Nodosinelloides_cf_longa","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Nodosinelloides_cf_shikhanica","tiny","nonmotile_unattached","herbivore","epifaunal","2","diffusion","unbuffered"
"Nodosinelloides_mirabilis_caucasica","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Nodosinelloides_ex_gr_netschajewi","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Nodosinelloides_potievskayae","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Nodosinelloides_sp_2","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Nodosinelloides_sp_3","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Nodosinelloides_sp_indet","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Orthovertellopsis_sp","small","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Pachyphloia_cf_multiseptata","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Pachyphloia_cf_ovata","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Pachyphloia_cukurkoyi","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Pachyphloia_schwageri","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Pachyphloia_sp","tiny","nonmotile_unattached","herbivore","epifaunal","1,2","diffusion","unbuffered"
"Pachyphloia_sp_3","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"cf_Pachyphloia_sp","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Pachyploia_cf_elegans","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Palaeofusulina_sp","tiny","nonmotile_unattached","herbivore","epifaunal","1,2","diffusion","unbuffered"
"Palaeonubecularia_cf_marginata","small","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Paraglobivalvulina_gracilis","tiny","nonmotile_unattached","herbivore","epifaunal","1,2","diffusion","unbuffered"
"Paraglobivalvulina_mira","tiny","nonmotile_unattached","herbivore","epifaunal","1,2","diffusion","unbuffered"
"Paraglobivalvulina_septulifera","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Pilammina_sp_1","tiny","nonmotile_unattached","herbivore","epifaunal","1,2","diffusion","buffered"
"Planiinvoluta_carinata","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Planiinvoluta_ex_gr_carinata","small","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Planiinvoluta_cf_mesotriasica","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Polarisella_cf_skyphica","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Polarisella_sp","tiny","nonmotile_unattached","herbivore","epifaunal","1,2","diffusion","unbuffered"
"Postcladella_cf_grandis","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Postcladella_giacobbei","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Postcladella_kalhori","tiny","nonmotile_unattached","herbivore","epifaunal","1,2,3","diffusion","unbuffered"
"Postcladella_sp","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"cf_Postcladella_sp","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Praeneodiscus_sp","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Praerectoglandulina_sp","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Praetriadodiscus_cf_tappanae","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Protonodosaria_sp","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Pseudoendothyra_sp","small","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Pseudolangella_dorashamensis","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Pseudolangella_fragilis","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Pseudolangella_sp","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Pseudomidiella_cf_labensis","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Pseudomidiella_sp","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Pseudomidiella_sp_2","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Pseudomidiella_sp_3","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"cf_Pseudomidiella_sp","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Pseudospira_sp_2","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Pseudospira_specialisaeformis","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Rectoglomospira_sp","tiny","nonmotile_unattached","herbivore","epifaunal","1,2","diffusion","buffered"
"Rectostipulina_hexamerata","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Rectostipulina_pentamerata","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Rectostipulina_quadrata","tiny","nonmotile_unattached","herbivore","epifaunal","1,2","diffusion","unbuffered"
"Reichelina_cribroseptata","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","buffered"
"Reichelina_cf_minuta","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","buffered"
"Robuloides_gourisiensis","tiny","nonmotile_unattached","herbivore","epifaunal","2","diffusion","unbuffered"
"Robuloides_lens","tiny","nonmotile_unattached","herbivore","epifaunal","1,2","diffusion","unbuffered"
"Semimeandrospira_cf_karnica","tiny","nonmotile_unattached","herbivore","epifaunal","2","diffusion","unbuffered"
"Sichotenella_sp","tiny","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Staffella_sp","small","nonmotile_unattached","herbivore","epifaunal","1","diffusion","unbuffered"
"Bituberitina_sp","tiny","nonmotile_attached","herbivore","epifaunal","1","diffusion","unbuffered"
"Eotuberitina_reitlingerae","tiny","nonmotile_attached","herbivore","epifaunal","1","diffusion","unbuffered"
"Eotuberitina_cf_praecipia","tiny","nonmotile_attached","herbivore","epifaunal","2","diffusion","unbuffered"
"Eotubespina_spinosa","tiny","nonmotile_attached","herbivore","epifaunal","1","diffusion","unbuffered"
"Floritheca_variata","tiny","nonmotile_attached","herbivore","epifaunal","1","diffusion","unbuffered"
"Planolites_montanus","small","slow_moving","herbivore","shallow_infaunal","3","hemoglobin","buffered"
"Thalassinoides_cf_suevicus","medium","fast_moving","herbivore","deep_infaunal","3","hemocyanin","buffered"
"Rhizocorallium_isp_A","small","facultative","herbivore","shallow_infaunal","3","hemocyanin","buffered"
"Palaeophycus_tubularis","small","facultative","herbivore","shallow_infaunal","3","hemoglobin","buffered"
"Helminthopsis_cf_abeli","small","slow_moving","herbivore","semi_infaunal","3","hemerythrin","buffered"
"Spongeliomorpha_isp","medium","fast_moving","herbivore","deep_infaunal","3","hemocyanin","buffered"
"Curvolithus_isp","medium","slow_moving","carnivore","semi_infaunal","3","hemoglobin","buffered"
"Taenidium_barretti","medium","slow_moving","herbivore","shallow_infaunal","3","hemoglobin","buffered"
"Catenichnus_contentus","small","facultative","herbivore","shallow_infaunal","3","hemoglobin","buffered"
"Cochlichnus_isp","small","slow_moving","herbivore","epifaunal","3","hemoglobin","buffered"
"Megagrapton_submontana","small","fast_moving","microcarnivore","shallow_infaunal","3","hemocyanin","buffered"
"Planolites_isp","small","slow_moving","herbivore","shallow_infaunal","1","hemoglobin","buffered"
"Diplocraterion_isp","small","fast_moving","herbivore","deep_infaunal","1","hemocyanin","buffered"
"Rhizocorallium_isp_B","tiny","facultative","herbivore","shallow_infaunal","1","hemocyanin","buffered"
"Skolithos_isp","small","facultative","herbivore","deep_infaunal","1,3","hemoglobin","buffered"
"Zoophycos_isp","medium","slow_moving","herbivore","deep_infaunal","1","hemoglobin","buffered"
"Palaeophycus_isp","small","facultative","herbivore","shallow_infaunal","1","hemoglobin","buffered"
"Arenicolites_isp","small","facultative","herbivore","shallow_infaunal","3","hemoglobin","buffered"
"Phycodes_isp","small","slow_moving","herbivore","shallow_infaunal","3","hemoglobin","buffered"
